1,482
2,213
3,242
4,260
5,152
6,54
7,184
8,438
9,147
10,290
11,198
12,163
13,158
14,47
15,65
16,88
17,208
18,144
19,108
20,365
21,420
22,283
23,264
24,127
25,126
26,414
27,302
28,353
29,331
30,698
31,312
32,288
33,202
34,147
35,319
36,309
37,337
38,251
39,181
40,428
41,107
42,66
43,306
44,61
45,92
46,309
47,284
48,521
49,322
50,1005
51,149
52,135
53,34
54,45
55,205
56,330
57,336
58,154
59,169
60,49
61,283
62,110
63,101
64,510
65,211
66,150
67,152
68,178
69,257
70,285
71,191
72,373
73,187
74,220
75,365
76,297
77,310
78,429
79,327
80,152
81,201
82,488
83,218
84,668
85,734
86,400
87,123
88,71
89,739
90,321
91,321
92,474
93,235
94,191
95,472
96,852
97,131
98,274
99,460
100,273
101,277
102,580
103,500
104,297
105,168
106,558
107,431
108,393
109,185
110,1046
111,394
112,142
113,812
114,178
115,197
116,207
117,191
118,550
119,284
120,311
121,174
122,257
123,171
124,178
125,165
126,118
127,433
128,324
129,492
130,726
131,299
132,87
133,274
134,261
135,166
136,151
137,573
138,1294
139,193
140,563
141,957
142,1002
143,143
144,208
145,200
146,458
147,616
148,731
149,341
150,456
151,279
152,569
153,603
154,730
155,494
156,404
157,501
158,383
159,291
160,651
161,295
162,312
163,535
164,135
165,252
166,520
167,619
168,418
169,537
170,453
171,328
172,811
173,96
174,460
175,568
176,221
177,291
178,264
179,359
180,204
181,137
182,135
183,142
184,347
185,53
186,228
187,197
188,369
189,221
190,147
191,131
192,363
193,410
194,151
195,560
196,367
197,172
198,208
199,140
200,162
201,264
202,131
203,395
204,255
205,463
206,471
207,534
208,266
209,272
210,228
211,122
212,491
213,136
214,235
215,152
216,713
217,348
218,788
219,380
220,304
221,311
222,1216
223,476
224,466
225,565
226,432
227,552
228,598
229,410
230,625
231,487
232,517
233,210
234,852
235,904
236,900
237,362
238,420
239,845
240,1374
241,862
242,407
243,916
244,543
245,871
246,1091
247,1257
248,522
249,221
250,371
251,673
252,976
253,1877
254,889
255,626
256,297
257,347
258,570
259,1570
260,425
261,1378
262,356
263,401
264,389
265,696
266,387
267,582
268,935
269,145
270,187
271,258
272,524
273,518
274,389
275,1025
276,147
277,107
278,245
279,455
280,324
281,201
282,381
283,133
284,291
285,160
286,585
287,237
288,356
289,670
290,565
291,185
292,112
293,442
294,329
295,137
296,393
297,336
298,388
299,164
300,191
301,287
302,324
303,150
304,125
305,306
306,70
307,310
308,228
309,456
310,319
311,191
312,219
313,142
314,462
315,348
316,316
317,454
318,156
319,226
320,145
321,394
322,228
323,230
324,432
325,133
326,94
327,240
328,558
329,474
330,503
331,588
332,177
333,182
334,144
335,168
336,252
337,242
338,611
339,248
340,197
341,244
342,251
343,244
344,290
345,487
346,364
347,648
348,417
349,112
350,454
351,329
352,250
353,262
354,221
355,345
356,145
357,325
358,111
359,138
360,301
